Department=[Amazon.com],Search Term=[],Enter ASINs or Products=[],Reporting Range=[Weekly],Viewing=[11/8/20 - 11/14/20],,,,,,,,,,
Amazon.com,nail polish,235,B085334F93,"MEFA 23 Pcs Gel Nail Polish Set with Nice Box, Soak Off Nail Gel Collection with Glossy and Matte Top Coat Base Coat Manicure Nail Art Salon",8.69%,6.18%,B07XFCDW64,Beetles BRIDESMAID BEAUTY Classic Gel Nail Polish Set - Nude Gray Pink 6 Colors Gel Polish Kit Popular Nail Art Design Soak Off LED Lamp Nail Polish Gel Manicure Kit Christmas Gifts New Year Holiday Set,7.85%,4.94%,B07K2W569B,Abitzon NEW Nail Polish Set (10 Bottles) - Non-Toxic Eco-Friendly Easy Peel Off & Quick Dry Water Based Nail Polish,6.61%,8.43%
Amazon.com,patio heater,236,B07L9G3T8S,Hampton Bay 48000 Btu Stainless Steel Patio Heater,19.41%,28.46%,B08HXHVPBM,Garden Treasures 48000-BTU Stainless Steel Floorstanding Liquid Propane Patio Heater,14.95%,9.78%,B08851QNG6,Member's Mark Patio Heater with LED Table + Wheels for Moving,5.68%,4.01%
Amazon.com,baby toys,237,B06Y22V315,Blige SMTF Cute Animal Soft Baby Socks Toys Wrist Rattles and Foot Finders for Fun Butterflies and Lady bugs Set 4 pcs,6.48%,8.01%,B078KGNGNS,"VTech Turn and Learn Driver (Frustration Free Packaging),Yellow",5.56%,6.12%,B071YCHDX1,"iPlay, iLearn 10pcs Baby Rattles Teether, Shaker, Grab and Spin Rattle, Musical Toy Set, Early Educational Toys for 3, 6, 9, 12 Month Baby Infant, Newborn",4.71%,4.20%
Amazon.com,ps5 controller,238,B08FC6C75Y,DualSense Wireless Controller,88.83%,94.68%,B08FC5V8L7,HD Camera,1.82%,0.81%,B08FC5L3RG,PlayStation 5 Console,0.66%,0.03%
Amazon.com,skateboard,239,B07G4V97DJ,"WhiteFang Skateboards for Beginners, Complete Skateboard 31 x 7.88, 7 Layer Canadian Maple Double Kick Concave Standard and Tricks Skateboards for Kids and Beginners (Diamond)",9.83%,11.58%,B08HQ76BXK,JECOLOS Pro Skateboard Complete 7 Layers Deck 31x8 Skate Board Maple Wood Longboards for Adults Teens Youths Beginners Girls Boys Kids (Sky),7.68%,8.40%,B07TV5XNPR,"Scientoy Skateboard, Beginner Skateboards, 31 x 8 Complete Pro Skateboard with A Repair Kit for Kids/Boys/Girls/Youth/Adults, 9 Layer Canadian Maple Double Kick Skateboard for Outdoor Sports",6.23%,7.67%
Amazon.com,documentaries,240,B08LMJ93LL,The Plot Against the President,7.35%,7.59%,B08LN2X4RH,The Plot Against the President,4.11%,2.53%,B088MGW3CG,Jasper Mall,2.06%,0.00%
Amazon.com,resistance bands,241,B07H7QT6BN,"Walito Resistance Bands for Legs and Butt,Exercise Bands Set Booty Bands Hip Bands Wide Workout Bands Sports Fitness Bands Resistance Loops Band Anti Slip Elastic (Set 3)",14.26%,7.77%,B01AVDVHTI,"Fit Simplify Resistance Loop Exercise Bands for Home Fitness, Stretching, Strength Training, Physical Therapy, Workout Bands, Pilates Flexbands, Set of 5",13.95%,17.05%,B087R2Q4HM,"Renoj Booty Bands, Exercise Bands for Legs and Butt, Resistance Bands Set?3 Levels?",5.81%,5.14%
Amazon.com,bookshelf,242,B00PC5DRPS,"Furinno Pasir 3-Tier Open Shelf, Espresso",12.06%,15.15%,B07K85C724,Mainstay` 71 5-Shelf Standard Bookcase (Black),11.18%,15.15%,B074NHT1SM,"Furinno 5-Tier Reversible Color Open Shelf Bookcase , White",6.94%,5.63%
Amazon.com,christmas pajamas,243,B085YF3LNH,"Lazy One Flapjacks, Matching Pajamas for The Dog, Baby & Kids, Teens, and Adults",9.13%,6.64%,B07D3ZRZH3,#followme 2 Piece Base Layer Thermal Underwear Set for Women,5.17%,6.16%,B08MXQ1DRK,IFFEI Matching Family Pajamas Sets Christmas PJ's Letter Print Top and Plaid Bottom Sleepwear,4.84%,5.92%
Amazon.com,echo dot,244,B08F8RQ469,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal with Sengled Bluetooth bulb,24.27%,24.37%,B07FZ8S74R,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,19.61%,22.70%,B07XJ8C8F5,All-new Echo Dot (4th Gen) | Smart speaker with Alexa | Charcoal,14.71%,15.30%
Amazon.com,sweater dresses for women,245,B07GBPWXK5,Mansy Women's Sexy Cocktail Batwing Long Sleeve Backless Mock Wrap Knit Sweater Mini Dress,9.85%,11.05%,B07J46DYNB,Xuan2Xuan3 Women's Fleece Long Sweatshirt Dress Crewneck Pullover Casual Long Sleeve Bodycon Mini Sweater Dress,7.23%,6.97%,B019IBMJKU,Mansy Womens Knitted Crewneck Sweater Dress,6.56%,7.98%
Amazon.com,christmas wreath,246,B00LKRMNWK,"National Tree Company lit Artificial Christmas Wreath Flocked with Mixed Decorations and Pre-strung White LED Lights, Crestwood Spruce-24 inch",11.69%,14.06%,B08KRNBBCF,Wrth Christmas Buffalo Check Wreath Christmas Holiday Festival Window Wall Wreath,5.24%,3.94%,B07YS84K7T,Lvydec Lighted Christmas Wreath Decoration - 16 x 8 Inch Grapevine Wreath with Hat and Bow Snowman Shape Wreath for Front Door Home Wall Decor,3.79%,4.26%
Amazon.com,christmas movies prime,247,B0815WCYLZ,Christmas Contract,14.08%,0.00%,B07KLR41TS,The Christmas Lodge,9.26%,2.38%,B0815RDH9V,Christmas on the Bayou,7.10%,0.00%
Amazon.com,record player,248,B07JL2NDSQ,"Byron Statics Vinyl Record Player 3 Speed Turntable Record Player with 2 Built in Stereo Speakers, Replacement Needle Supports RCA Line Out AUX in Headphone Jack Portable Vintage Suitcase Teal",23.62%,22.12%,B00NQL8Z16,"Innovative Technology VTA-200B MH Victrola Nostalgic Classic Wood 6-in-1 Bluetooth Turntable Entertainment Center, Mahogany",6.92%,6.95%,B00UMVW4VA,"Victrola Vintage 3-Speed Bluetooth Portable Suitcase Record Player with Built-in Speakers | Upgraded Turntable Audio Sound| Includes Extra Stylus | Black, Model Number: VSC-550BT-BK",5.50%,7.08%
Amazon.com,vitamin c,249,B0019GE9HE,Vitamin C + Rose Hips by Nature’s Bounty. Vitamin C is a Leading Vitamin for Immune Support 1000mg 100 Coated Caplets,17.57%,20.43%,B000GG87V2,"Vitamin C by Nature’s Bounty for Immune Support. Vitamin C is a Leading Immune Support Vitamin, 500mg, 250 Tablets",16.84%,19.33%,B07122C9VC,"Amazon Elements Vitamin C 1000mg, Supports Healthy Immune System, Vegan, 300 Tablets, 10 month supply",9.74%,8.84%
Amazon.com,curtain rod,250,B076CBLKXV,"Kenney Kendall Standard Decorative Window Curtain Rod, 28-48, Brushed Nickel",15.53%,18.36%,B075X9ND36,"Kenney Chelsea 5/8 Standard Decorative Window Curtain Rod, 48-86, Weathered Brown",8.22%,10.95%,B06XHQWMM3,"Kenney Adler Indoor/Outdoor Rust-Resistant Wrap Around Curtain Rod, 28-48, Black",7.11%,5.51%
Amazon.com,disinfecting wipes,251,B08C36WX56,"Cl?r?x Disinf?ecting Wipes, Crisp Lemon, 75 Count - 2 Pack (Packaging May Vary)",25.27%,13.15%,B08BKR9YT6,"Clorox Disinfecting Bleach Free Cleaning Wipes, 75 Wipes, Pack of 3 (Packaging May Vary)",8.54%,16.19%,B0002LCZ6O,"Lysol Disinfecting Wipes, Lemon & Lime Blossom, 80ct",6.02%,9.73%
Amazon.com,heating pad,252,B00474Z0Q4,"Sunbeam Heating Pad for Pain Relief | XL King Size SoftTouch, 4 Heat Settings with Auto-Off | Teal, 12-Inch x 24-Inch",28.84%,32.29%,B07G2M1LBW,MIGHTY BLISS Large Electric Heating Pad for Back Pain and Cramps Relief -Extra Large [12x24] - Auto Shut Off - Heat Pad with Moist & Dry Heat Therapy Options - Hot Heated Pad,15.25%,14.14%,B00075M1T6,"Sunbeam Heating Pad for Pain Relief | Standard Size UltraHeat, 3 Heat Settings with Moist Heat| Light Blue, 12-Inch x 15-Inch",7.74%,6.83%
Amazon.com,tree topper,253,B08933QPB4,HMASYO Christmas Tree Topper Hat - Christmas Black Velvet Bowler Derby Hat with Large Red Plaid Bow Christmas Tree Decorations Desktop Ornaments for Holiday Home Decor,4.61%,3.21%,B08DJ1MCH2,"Christmas Tree Topper,Christmas Ornament with Glitter Satin Mesh Streamer,for Your Christmas Decor & Gift(Rose-Gold)",3.71%,2.79%,B07W1K98GX,"MAOYUE Christmas Tree Topper Lighted with Silver Snowflake Projector, Sliver Snow Tree Topper for Christmas Tree Decorations",3.53%,3.63%
Amazon.com,shower head,254,B01H2DG1SW,AquaDance High Pressure 6-Setting 3.5 Chrome Face Handheld Shower with Hose for the Ultimate Shower Experience! Officially Independently Tested to Meet Strict US Quality & Performance Standards!,12.52%,19.61%,B01NCJDYA3,"Luxsego Shower Head with Replacement Hose and Bracket, 3-Setting High Pressure & Water Saving Showerhead for Best Shower Experience, Filter Stone Stream Handheld Shower for Dry Hair & Skin SPA",8.36%,4.08%,B07M5NVJZ1,"Nosame Shower Head, Filter Filtration High Pressure Water Saving 3 Mode Function Spray Handheld Showerheads for Dry Skin & Hair",7.68%,3.85%
Amazon.com,star wars,255,1683839781,"Star Wars: The Lightsaber Collection: Lightsabers from the Skywalker Saga, The Clone Wars, Star Wars Rebels and more | (Star Wars gift, Lightsaber book)",9.69%,2.06%,B082VZL4T6,Star Wars: The Rise of Skywalker,5.13%,10.44%,B00VN0DLRA,Star Wars: A New Hope,3.97%,8.70%
Amazon.com,eyelashes,256,B07XSG47RJ,"50 Pairs 5 Styles Natural False Eyelashes Set, TINGESHINE Professional Eyelashes Pack, Handmade Soft Band Reusable Comfortable Fake Lashes, 10 Pairs Eyes Lashes Each Style",16.96%,0.65%,B0759YNTD4,"Eliace 50 Pairs 5 Styles Lashes Bulk Handmade False Eyelashes Set Professional Fake Eyelashes Pack, Lashes For Women, Eyelashes Natural Look Very Soft and Comfortable, With Free Eyelash Tweezers",8.07%,4.61%,B0899SLC2B,Newcally Lashes Fake Eyelashes 14 Pairs Dramatic 20MM Long False Eyelashes Thick Volume Faux Mink Eye Lashes Pack,7.53%,9.16%
Amazon.com,kids toys,257,B08BL27DRR,"Kidzone DIY Race #00-99 6V Kids Toy Electric Ride On Bumper Car Vehicle Remote Control 360 Spin ASTM-Certified, Pink",5.65%,1.62%,B07FPWYY79,My First Princess Make Up Kit - 12 Pc Kids Makeup Set - Washable Pretend Makeup For Girls - These Makeup Toys for Girls Include Everything Your Princess Needs To Play Dress Up - Comes with Stylish Bag,4.72%,6.02%,B0084JUNVU,"Crayola Light Up Tracing Pad Pink, Toys for Girls & Boys, Gift for Kids, Age 6+",4.68%,5.03%
Amazon.com,crocs women,258,B08L7T3L8C,Crocs Unisex-Adult Classic Clog | Water Comfortable Slip on Shoes,25.80%,34.10%,B08L95BD1R,Crocs Men's and Women's Classic Lined Clog | Warm and Fuzzy Slippers,10.34%,9.12%,B0884WX28H,Crocs Unisex-Adult Classic Tie Dye Clog | Comfortable Slip on Water Shoes,9.14%,8.82%
Amazon.com,polygel nail kit,259,B07V4L82MH,"Beetles Poly Extension Gel Nail Kit, Nail Builder Gel Nail Enhancement Trial Kit Professional Nail Technician All-in-One French Kit with Mini Nail Lamp for Nail Art Starter Kit",26.35%,23.21%,B08C73CKR9,Morovan Poly Nail Gel Kit Builder Gel for Nails with 48W LED UV Nail Lamp Nail Extension Gel 8 Pcs 0.5oz with Slip Solution Nail Prep Dehydrator and Nail Primer Poly Nail Gel Kit Nail Art Supplies,8.01%,7.48%,B07RY99LXY,Modelones Poly Nail Gel Kit 30ml 2PCS With Slip Solution Extension Builder Enhancement Professional Starter Kit All-in-One Nail Technician French Kit,6.23%,8.65%
Amazon.com,long sleeve shirts for women,260,B01M211FKZ,Hanes Sport Women's Cool DRI Performance Long Sleeve Tee,4.95%,5.54%,B01I21CP7O,Hanes Women's Long Sleeve Tee,3.95%,5.41%,B08LW1LSQ8,ZANFUN Oversized Sweatshirts for Women Casual Stripe Print Long Sleeve Loose Hoodies T Shirt Plus Size Blouse Tunic Tops,2.89%,2.30%
Amazon.com,stocking stuffers for kids,261,B075ZJ37NR,"Set of 2 Surprise Growing Unicorn Hatching Rainbow Egg Kids Toys, Assorted Colors",7.86%,7.79%,B077XC7K7V,"Lip Smacker Lippy Pal Lip Balm, Unicorn Magic , 0.14 ounce",6.39%,8.01%,B00ZY6JHU4,"Super Z Outlet Liquid Motion Bubbler for Sensory Play, Fidget Toy, Children Activity, Desk Top, Assorted Colors (1 Piece)",5.63%,5.08%
Amazon.com,shoes,262,B08FSVL4SQ,adidas Women's Cloudfoam Pure Running Shoe,12.73%,7.76%,B001G60052,Fila Women's Disruptor II Sneaker,8.91%,2.16%,B08DXCSW56,Under Armour Men's Charged Assert 8 Running Shoe,6.53%,10.34%
Amazon.com,christmas lights outdoor,263,B07THWT9V8,"Toodour LED Icicle Lights, 360 LED, 29.5ft, 8 Modes, Window Curtain Fairy Lights with 60 drops, Led Christmas Lights, Icicle Fairy Twinkle Lights for Party, Holiday, Wedding Decorations (Pure White)",7.40%,5.34%,B07W7CWM2J,"Aluan Christmas Lights Meteor Shower Rain Lights 10 Tube 240 LED 12 Inch Waterproof Plug in Falling Rain Fairy String Lights for Halloween Christmas Holiday Party Home Patio Outdoor Decoration, White",5.93%,4.13%,B0899PQBLP,"Brizled Color Changing Icicle Lights, 360 LED Christmas Icicle Lights, 29ft Outdoor Icicle Lights String with Remote 11 Modes Cool White & Multicolor Icicle Lights for Xmas Wedding Home Indoor Decor",4.05%,2.04%
Amazon.com,drone,264,B086V8RPT6,"SNAPTAIN A10 Mini Foldable Drone with 720P HD Camera FPV WiFi RC Quadcopter w/Voice Control, Gesture Control, Trajectory Flight, Circle Fly, High-Speed Rotation, 3D Flips, G-Sensor, Headless Mode",14.35%,16.58%,B07GPNZSMY,"SNAPTAIN S5C WiFi FPV Drone with 720P HD Camera,Voice Control, Wide-Angle Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function, RTF One Key Take Off/Landing, Compatible w/VR Headset",12.95%,14.94%,B078WKT1HL,"Holy Stone HS110D FPV RC Drone with 1080P HD Camera Live Video 120°Wide-Angle WiFi Quadcopter with Gravity Sensor, Voice Control, Gesture Control, Altitude Hold, Headless Mode, 3D Flip RTF 2 Batteries",5.26%,7.45%
Amazon.com,pajamas for women,265,B07GFCPGQ6,SheIn Women's 7pcs Pajama Set Cami Pjs with Shirt and Eye Mask,7.98%,4.36%,B07W8J4GXD,Ekouaer Womens Pajama Set Long Sleeve Sleepwear Star Print Cotton Nightwear Soft Pjs Lounge Sets with Pockets,6.63%,6.55%,B015IY6LAU,Ekouaer Pajamas Set Long Sleeve Sleepwear Womens Button Down Nightwear Soft Pj Lounge Sets XS-XXL,6.44%,7.08%
Amazon.com,nike,266,B08BBB2ZWT,Nike Men's Revolution 5 Running Shoe,8.13%,0.96%,B06XWKSMVD,Nike - E-mail Delivery,5.51%,50.38%,B083HYK67H,UMYOGO Women's Sneaker Lightweight Tennis Shoes Fashion Casual Walking Running Shoes Sneakers for Women Non Slip,4.82%,2.30%
Amazon.com,rtx 3080,267,B08HR3Y5GQ,"EVGA 10G-P5-3897-KR GeForce RTX 3080 FTW3 ULTRA GAMING, 10GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",26.58%,26.32%,B08HVV2P4Z,"ZOTAC Gaming GeForce RTX 3080 Trinity OC 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30800J-10P",11.08%,14.74%,B08HJQ182D,"ZOTAC Gaming GeForce RTX 3090 Trinity 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30900D-10P",9.31%,6.32%
Amazon.com,xbox one,268,B08GGDT47N,Xbox One S,29.05%,45.68%,B08231TPSF,"Microsoft Xbox One S 1TB HDD Bundle with Two (2X) Wireless Controllers, 1-Month Game Pass Trial, 14-Day Xbox Live Gold Trial - White (2016 Model)",10.69%,8.38%,B089M5L82M,Xbox One S 1TB Console [Previous Generation],9.50%,8.12%
Amazon.com,naruto,269,B08L3S4R76,"Naruto Bag,Sticker Brooch Phone Holder Necklace Bracelet/Mask/Pillowcase/Headband (Naruto face mask set)",12.38%,11.97%,B07ZH3T2R6,Naruto Anime Figure 3D Optical Illusion Night Light Hatake Kakashi Uzumaki Naruto Uchiha Sasuke Haruno Sakura 7 Colors Table Lamp Kid Boy Christmas New Year Gift Home Decor(4 Naruto),7.75%,8.01%,B003BIVRTQ,Homecoming,3.69%,2.51%
Amazon.com,slime,270,B07WK8MHPK,"Sunool 3 Pack Butter Slime, Mint Green Leaf, Yellow Pineapple, Pink Peach Butter Slime Putty Stress Relief and Scented Sludge Toy for Boys and Girls",9.26%,5.74%,B07T8DVCJS,"Luckyunicorn 8 Pack Butter Slime Kit, with Mint, Watermelon, Candy, Oreo, Coffee and Lemon Slime, Stretchy and Non-Sticky, Stress Relief Toy for Girl and Boys",5.90%,4.13%,B088CSFVBY,"sloueasy 10 Pack Butter Slime Kit, with Mint Slime, Watermelon Slime, Coffee Slime, Lemon Slime, Rainbow Slime and Cake Slime Super Soft & Non-Sticky, Birthday Gifts for Girl and Boys",5.40%,2.45%
Amazon.com,essential oils,271,B06XRLR9RQ,"Lagunamoon Essential Oils Top 6 Gift Set Pure Essential Oils for Diffuser, Humidifier, Massage, Aromatherapy, Skin & Hair Care",18.26%,20.44%,B014JYY7CE,"Pursonic 100% Pure Essential Aromatherapy Oils Gift Set-6 Pack , 10ML(Eucalyptus, Lavender, Lemon grass, Orange, Peppermint, Tea Tree)",13.36%,14.38%,B086K1QSK5,"Essential Oils - Anjou Top 18 Aromatherapy Oils Premium Fragrance Oil Organic Pure for Diffuser Yoga Massage & DIY Personal Care, Classical Set 5ml/Bottle",12.61%,8.94%
Amazon.com,jewelry organizer,272,B07SVFH8HQ,"SONGMICS Jewelry Box with Glass Lid, christmas gifts, 3-Layer Jewelry Organizer with 2 Drawers, Gift for Loved Ones, White UJBC239WT",11.12%,9.33%,B089SQGR1T,Jewelry Organizer Wall Mounted Rotating Jewelry Holder Hanging Storage Display for Necklaces Bracelet Earring Ring (Carbonized Black),6.14%,4.73%,B07BNLKZ9D,"SONGMICS Lockable Jewelry Cabinet Armoire with Mirror, christmas gifts for women, Wall-Mounted Space Saving Jewelry Storage Organizer, White UJJC51WT",5.41%,2.84%
Amazon.com,wireless headphones,273,B07WSKKYPR,"Sony Wireless Headphones WH-CH510: Wireless Bluetooth On-Ear Headset with Mic for Phone-Call, Black",11.09%,7.61%,B01HNMTCE2,iJoy Matte Finish Premium Rechargeable Wireless Headphones Bluetooth Over Ear Headphones Foldable Headset with Mic (Stealth),10.80%,13.33%,B086GPHS71,"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Red Purple",7.96%,9.10%
Amazon.com,dinosaur toys,274,B07MYTBV6N,"TEMI Dinosaur Toy Figure w/ Activity Play Mat & Trees, Educational Realistic Dinosaur Playset to Create a Dino World Including T-Rex, Triceratops, Velociraptor, Perfect Gifts for Kids, Boys & Girls",11.07%,10.99%,B08G8WL9LS,"FAHZON Dinosaur Toys for Boys & Girls with Metal Storage Box and Activity Playmat, 14 Large 7 Inch Educational Realistic Dinosaur Set, Gifts for Kids Age 3 4 5 6 7 8",8.06%,0.17%,B083R2P78L,"Dinosaur Toys for 3-8 Year Olds Boys,Dino Projection Cool Kids Toys for 3-8 Year Olds Boys 2 in 1 Car Toys for 2-10 Year Olds Boys,Chirstmas Gifts Birthday Gifts for 2-10 Year Olds Boys Kids Children",7.00%,7.66%
Amazon.com,stocking stuffers for men,275,B07S1BNNYD,Happy Nuts Sweat Defense and Odor Control - Comfort Cream Lotion for Men,7.29%,6.30%,B01ATW6NJ0,10 Piece Game Jerky Sticks Alligator-elk-buffalo-kangaroo-ostrich-pheasant-venison-wild Boar Variety Pack,6.11%,5.67%,B07YTKXHKG,TICARVE Cleaning Gel for Car Detailing Putty Auto Cleaning Putty Auto Detailing Gel Detail Tools Car Interior Cleaner Universal Dust Cleaner Gel Vent Cleaner Keyboard Cleaner for Laptop,5.83%,7.46%
Amazon.com,iphone 11 pro case,276,B07YC39KDP,"DTTO Compatible with iPhone 11 Pro Case, [Romance Series] Full Covered Silicone Cover [Enhanced Camera and Screen Protection] with Honeycomb Grid Cushion for iPhone 11 Pro 5.8 2019,Midnight Green",9.73%,11.77%,B07Y1B8TVX,Spigen Ultra Hybrid Designed for iPhone 11 Pro Case (2019) - Midnight Green,8.72%,10.01%,B07VW7L6FT,"TORRAS Crystal Clear Compatible with iPhone 11 Pro Case, [Anti-Yellowing] Soft Silicone Shockproof Thin Cover Slim Gel Phone Cases for iPhone 11 Pro 5.8 inch, Crystal Clear",8.53%,11.21%
Amazon.com,iphone charger cable,277,B08KXTHMCC,"iPhone Charger, 3Pack 10FT MFi Certified Lightning Cable Nylon Braided Fast Charging High Speed Data Sync Transfer Cord Phone Power Connector Compatible with iPhone 11 Pro Max XS XR X 8 7 Plus 6S iPad",24.95%,0.41%,B08FQZ81MT,iPhone Charger MFi Certified iPhone Cable 5Pack 3/3/6/6/10FT Extra Long Nylon Braided USB Charging Syncing Cord Compatible iPhone 11/11pro/Xs/Max/XR/X/8/8Plus/7/7Plus/6/6Plus/SE/iPad,13.35%,0.01%,B08JCZFWQJ,UNEN MFi Certified 5Pack[3/3/6/6/10ft] Nylon Braided iPhone Charger Lightning Cable Fast Charging&Syncing Long Cord Compatible iPhone 11Pro Max/11Pro/11/XS/Max/XR/X/8/8P/7 and More-Black&Blue,9.61%,16.90%
Amazon.com,wigs,278,B07LBJ1K91,"VCKOVCKO Pastel Wavy Wig With Air Bangs Women's Short Bob Pink Wig Curly Wavy Shoulder Length Pastel Bob Synthetic Cosplay Wig for Girl Colorful Costume Wigs(12, Pink)",9.38%,14.19%,B07KQ35WZP,23 Natural Full Wigs Hair Long Wavy Wig Synthetic Heat Resistant (Ombre Silver),5.67%,6.92%,B07V4D7WKM,Ucrown Hair Lace Front Wigs Brazilian Body Wave Human Hair Wigs For Black Women (16 inch) 150% Density Pre Plucked with Baby Hair Natural Black,5.20%,1.93%
Amazon.com,sweatpants for women,279,B087446PCV,Women's Cinch Bottom Sweatpants Pockets High Waist Sporty Gym Athletic Fit Jogger Pants Lounge Trousers,13.59%,7.55%,B0169P8D8K,Hanes Women’s EcoSmart Sweatpant – Regular and Petite Lengths,7.64%,15.07%,B07YYSC22N,Leggings Depot Women's Printed Solid Activewear Jogger Track Cuff Sweatpants,5.89%,5.90%
Amazon.com,hoodies,280,B07P6SYXSH,"Gildan Men's Fleece Hooded Sweatshirt, Style G18500",11.84%,21.61%,B07PBY2Y5V,Hanes Mens Pullover Ecosmart Fleece Hooded Sweatshirt,10.28%,18.14%,B07WZZ5JPQ,"Eytino Women Hoodies Tops Tie Dye Printed Long Sleeve Drawstring Pullover Sweatshirts with Pocket,XX-Large Gray",4.79%,2.65%
Amazon.com,ugly christmas sweater,281,B07H2SV95X,Idgreatim Unisex Ugly Christmas Crewneck Sweatshirt Novelty 3D Graphic Long Sleeve Sweater Shirt,15.08%,13.02%,B07C4PLBHT,uideazone Unisex Ugly Christmas Sweater 3D Printed Funny Crew Neck Pullover Sweatshirts for Xmas Party Celebrations,5.99%,4.94%,B082P6N6T4,Hybrid Apparel Men's Ugly Christmas Sweater,5.04%,6.10%
Amazon.com,paw patrol,282,B00EJ63AQ2,Pups and the Kitty-tastrophe/Pups Save The Train,15.55%,9.67%,B00EJ630FS,PAW Patrol Volume 1,10.09%,6.87%,B07NZ2RNRL,"PAW Patrol, True Metal Classic Gift Pack of 6 Collectible Die-Cast Vehicles, 1:55 Scale",4.76%,4.13%
Amazon.com,sewing machine,283,B003VWXZQ0,"SINGER 4423 Sewing Machine, grey",10.02%,9.97%,B07ZGGCDKS,"Magicfly Mini Sewing Machine with Extension Table, Dual Speed Portable Sewing Machine for Beginner with Light, Sewing Kit for Kids, Household, Blue",7.39%,10.11%,B00JBKVN8S,"Brother XM2701 Sewing Machine, Lightweight, Full Featured, 27 Stitches, 6 Included Feet",6.98%,7.57%
Amazon.com,adidas shoes men,284,B0716XG4B6,adidas Men's CF Lite Racer Byd,5.61%,8.00%,B08CTYPLRG,adidas Men's Ultraboost 20 Running Shoe,4.21%,3.15%,B07F23YBMT,adidas Men's Lite Racer Adapt Running Shoe,3.68%,6.19%
Amazon.com,star trek,285,B01IG0G9G4,Star Trek Beyond,6.40%,15.99%,B01LT826R6,Star Trek,6.29%,17.41%,B08L62798F,"That Hope Is You, Part 1",5.97%,1.39%
Amazon.com,friday the 13th,286,B0095D42RU,Friday the 13th,27.23%,34.08%,B07QGG2KSZ,Friday the 13th Part VI: Jason Lives,13.32%,1.27%,B0091WQM0K,Friday the 13th (2009),11.79%,16.72%
Amazon.com,microphone,287,B071SGMQ7V,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Christmas Birthday Home Party for Android/iPhone/PC or All Smartphone(Q37 Rose Gold)",16.27%,19.43%,B07WLWN2ZT,"USB Microphone, TONOR Computer Condenser PC Gaming Mic with Tripod Stand & Pop Filter for Streaming, Podcasting, Vocal Recording, Compatible with iMac Laptop Desktop Windows Computer, TC-777",11.31%,11.87%,B07MZP3N5C,"USB Streaming Podcast PC Microphone, SUDOTACK professional 192KHZ/24Bit Studio Cardioid Condenser Mic Kit with sound card Boom Arm Shock Mount Pop Filter, for Skype YouTuber Karaoke Gaming Recording",5.32%,1.84%
Amazon.com,baby,288,B07WRSSSRJ,"Fisher-Price Infant-to-Toddler Rocker - Pacific Pebble, Portable Baby Seat, Multi",4.18%,1.49%,B07HD23WWT,Touched by Nature Baby Organic Cotton Socks,3.56%,3.33%,B07MWW7HPR,Pinkfong 50 Best Hits: Baby Shark and More,3.06%,0.00%
Amazon.com,hoodies for women,289,B081PXZ7L1,Eytino Women Hoodies Tops Tie Dye Printed Long Sleeve Drawstring Pullover Sweatshirts with Pocket(S-XXL),8.03%,7.19%,B07P6SYXSH,"Gildan Men's Fleece Hooded Sweatshirt, Style G18500",7.78%,7.98%,B08G4VK59G,Century Star Womens Fuzzy Hoodies Pullover Cozy Oversized Pockets Hooded Sweatshirt Athletic Fleece Hoodies,4.57%,4.91%
Amazon.com,paw patrol toys,290,B07NZ2RNRL,"PAW Patrol, True Metal Classic Gift Pack of 6 Collectible Die-Cast Vehicles, 1:55 Scale",12.04%,10.73%,B0848FXJ41,"Paw Patrol, True Metal Adventure Bay Rescue Way Playset with 2 Exclusive Vehicles, 1:55 Scale",5.83%,3.18%,B084BMR3B6,"Paw Patrol, Jet to The Rescue Everest Deluxe Transforming Vehicle with Lights and Sounds",5.29%,7.79%
Amazon.com,2020 christmas ornament,291,B08ML5MSKM,"TOSFOGO 2020 A Year to Forget, Remember 2020 Christmas Ornament Quarantine 2020 Events Keepsake(3'' Round/1 Pc)",11.15%,11.85%,B08K8M13GQ,"Dobor 2020 Christmas Ornament Quarantine,Christmas Ornaments 2020,Christmas Tree Ornaments,2020 Ornament,Christmas 2020 Ornaments,Personalized Christmas Ornaments (White Santa of 2)",9.48%,0.00%,B08HXCFVHC,Remembering 2020 Ornament Year of Quarantine Ornament 2020 Christmas Ornament 2020 Commemorative Funny Ornament 2020 Events – A Year to Remember,7.00%,8.57%
